hw_id,pos_id,ip,mavlink_port,serial_port,baudrate
1,1,172.18.0.2,14563,,
2,2,172.18.0.3,14564,,
3,3,172.18.0.4,14565,,
4,4,172.18.0.5,14566,,
5,5,172.18.0.6,14567,,
6,6,172.18.0.7,14568,,
7,7,172.18.0.8,14569,,
8,8,172.18.0.9,14570,,
9,9,172.18.0.10,14571,,
10,10,172.18.0.11,14572,,
11,11,172.18.0.12,14573,,
12,12,172.18.0.13,14574,,
13,13,172.18.0.14,14575,,
14,14,172.18.0.15,14576,,
15,15,172.18.0.16,14577,,
16,16,172.18.0.17,14578,,
17,17,172.18.0.18,14579,,
18,18,172.18.0.19,14580,,
19,19,172.18.0.20,14581,,
20,20,172.18.0.21,14582,,
21,21,172.18.0.22,14583,,
22,22,172.18.0.23,14584,,
23,23,172.18.0.24,14585,,
24,24,172.18.0.25,14586,,
25,25,172.18.0.26,14587,,
26,26,172.18.0.27,14588,,
27,27,172.18.0.28,14589,,
28,28,172.18.0.29,14590,,
29,29,172.18.0.30,14591,,
30,30,172.18.0.31,14592,,
31,31,172.18.0.32,14593,,
32,32,172.18.0.33,14594,,
33,33,172.18.0.34,14595,,
34,34,172.18.0.35,14596,,
35,35,172.18.0.36,14597,,
36,36,172.18.0.37,14598,,
37,37,172.18.0.38,14599,,
38,38,172.18.0.39,14600,,
39,39,172.18.0.40,14601,,
40,40,172.18.0.41,14602,,
41,41,172.18.0.42,14603,,
42,42,172.18.0.43,14604,,
43,43,172.18.0.44,14605,,
44,44,172.18.0.45,14606,,
45,45,172.18.0.46,14607,,
46,46,172.19.0.2,14608,,
47,47,172.19.0.3,14609,,
48,48,172.19.0.4,14610,,
49,49,172.19.0.5,14611,,
50,50,172.19.0.6,14612,,
51,51,172.19.0.7,14613,,
52,52,172.19.0.8,14614,,
53,53,172.19.0.9,14615,,
54,54,172.19.0.10,14616,,
55,55,172.19.0.11,14617,,
56,56,172.19.0.12,14618,,
57,57,172.19.0.13,14619,,
58,58,172.19.0.14,14620,,
59,59,172.19.0.15,14621,,
60,60,172.19.0.16,14622,,
61,61,172.19.0.17,14623,,
62,62,172.19.0.18,14624,,
63,63,172.19.0.19,14625,,
64,64,172.19.0.20,14626,,
65,65,172.19.0.21,14627,,
66,66,172.19.0.22,14628,,
67,67,172.19.0.23,14629,,
68,68,172.19.0.24,14630,,
69,69,172.19.0.25,14631,,
70,70,172.19.0.26,14632,,
71,71,172.19.0.27,14633,,
72,72,172.19.0.28,14634,,
73,73,172.19.0.29,14635,,
74,74,172.19.0.30,14636,,
75,75,172.19.0.31,14637,,
76,76,172.19.0.32,14638,,
77,77,172.19.0.33,14639,,
78,78,172.19.0.34,14640,,
79,79,172.19.0.35,14641,,
80,80,172.19.0.36,14642,,
81,81,172.19.0.37,14643,,
82,82,172.19.0.38,14644,,
83,83,172.19.0.39,14645,,
84,84,172.19.0.40,14646,,
85,85,172.19.0.41,14647,,
86,86,172.19.0.42,14648,,
87,87,172.19.0.43,14649,,
88,88,172.19.0.44,14650,,
89,89,172.19.0.45,14651,,
90,90,172.19.0.46,14652,,
91,91,172.19.0.47,14653,,
92,92,172.19.0.48,14654,,
93,93,172.19.0.49,14655,,
94,94,172.19.0.50,14656,,
95,95,172.19.0.51,14657,,
96,96,172.19.0.52,14658,,
97,97,172.19.0.53,14659,,
98,98,172.19.0.54,14660,,
99,99,172.19.0.55,14661,,
100,100,172.19.0.56,14662,,
