hw_id,pos_id,ip,mavlink_port,serial_port,baudrate
1,1,172.17.0.3,14551,,
2,2,172.17.0.4,14552,,
3,3,172.17.0.5,14553,,
4,4,172.17.0.6,14554,,
5,5,172.17.0.7,14555,,
6,6,172.17.0.8,14556,,
7,7,172.17.0.9,14557,,
8,8,172.17.0.10,14558,,
9,9,172.17.0.11,14559,,
10,10,172.17.0.12,14560,,
11,11,172.17.0.13,14561,,
12,12,172.17.0.14,14562,,
13,13,172.17.0.15,14563,,
14,14,172.17.0.16,14564,,
15,15,172.17.0.17,14565,,
16,16,172.17.0.18,14566,,
17,17,172.17.0.19,14567,,
18,18,172.17.0.20,14568,,
19,19,172.17.0.21,14569,,
20,20,172.17.0.22,14570,,
21,21,172.17.0.23,14571,,
22,22,172.17.0.24,14572,,
23,23,172.17.0.25,14573,,
24,24,172.17.0.26,14574,,
25,25,172.17.0.27,14575,,
26,26,172.17.0.28,14576,,
27,27,172.17.0.29,14577,,
28,28,172.17.0.30,14578,,
29,29,172.17.0.31,14579,,
30,30,172.17.0.32,14580,,
31,31,172.17.0.33,14581,,
32,32,172.17.0.34,14582,,
33,33,172.17.0.35,14583,,
34,34,172.17.0.36,14584,,
35,35,172.17.0.37,14585,,
36,36,172.17.0.38,14586,,
37,37,172.17.0.39,14587,,
38,38,172.17.0.40,14588,,
39,39,172.17.0.41,14589,,
40,40,172.17.0.42,14590,,
